Artist,Album,Webhook,Artwork
Edan Mold,e,spotify:user:spotify:playlist:3yM4Yy4rb8HpIzZfC8OAhZ|shuffle,pokecard
The Shins,Chutes Too Narrow,spotify:album:05APAIA6c0Qf7QtFQYZAKm,Chutes-Too-Narrow.jpg
Mitski,Be the cowboy,spotify:album:653wRjqO0GOZPQPcXpeAXD,Be-the-cowboy.jpg
Sonic R,Richard Jacques,spotify:album:6Rc7rkokin2O1ewp2vBZjt,Sonic-R.jpg
Carpenter Brut,Leather Terror,spotify:album:37PW0ipoWcjx3APS1MN0ql,Leather-Terror.jpg   
Phoebe Green,Lucky Me,spotify:album:5m4HHGSrjzHGf2G6xP7jwl,Lucky-Me.jpg
Beach House,Teen Dream,spotify:album:6psfQ7hu5uqFLkdtWyygcT,Teen-Dream.jpg
Miss Grit,,Follow the Cyborg,spotify:album:1FzCOEjfRrJvwMWqEUCsNO,Follow-the-Cyborg.jpg
caroline,caroline,spotify:album:4X12VfRomM649eKXd1qKMf,caroline.png
Set My Heart on Fire Immediately,Perfume Genius,spotify:album:5qWrp5RcqjxB8ak7dtK6Iv,Set-My-Heart-on-Fire-Immediately.jpg 
Fiona apple,Fetch the bolt cutters,spotify:album:0fO1KemWL2uCCQmM22iKlj,Fetch-the-bolt-cutters.jpg
